skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Warm Brown,Light Brown Shirt + Navy Pants,Complements warm brown skin with light brown/navy tones for a fresh look.,Balanced,Neutral Palette,casual
Ebony,Black Leather Jacket + Dark Denim,Trendy and bold for ebony skin with black/denim tones.,Balanced,Neutral Palette,casual
Porcelain,Beige Sweater + White Jeans,"Light and soft, fits porcelain skin with beige/white tones.",Balanced,Neutral Palette,casual
Light,Mint Green Shirt + White Shorts,"Light and airy, perfect for light skin with mint/white colors.",Balanced,Neutral Palette,casual
Beige,Tan T-shirt + Brown Jeans,Matches beige skin tone with tan/brown colors for a relaxed look.,Balanced,Neutral Palette,casual
Olive,Light Blue Shirt + Black Jeans,Suits olive skin tone with light blue/black tones for a trendy look.,Balanced,Neutral Palette,casual
Deep Dark,Burgundy Blazer + Black Trousers,"Edgy fashion, perfect for deep dark skin with silver/plum tones.",Balanced,Neutral Palette,casual
Honey,Light Brown Coat + Navy Boots,Matches honey skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Casual
Porcelain,Gold Jacket + Dark Blue Pants,Matches porcelain skin tone with gold/dark blue contrast.,Cool,"Blue, White, Pastels",Party
Dark,Soft Gray Sweater + Charcoal Jeans,Matches dark skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Casual
Deep Tan,Charcoal Top + Black Trousers,Matches deep tan skin tone with charcoal/black contrast.,Cool,"Blue, White, Pastels",Business
Caramel,Charcoal Jacket + Black Pants,Matches caramel skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Elegant
Caramel,Olive Green Top + Cream Trousers,Matches caramel skin tone with olive green/cream contrast.,Cool,"Blue, White, Pastels",Formal
Medium,Soft Gray Coat + Charcoal Boots,Matches medium skin tone with soft gray/charcoal contrast.,Cool,"Blue, White, Pastels",Casual
Warm Brown,Mustard Yellow Coat + Brown Boots,Matches warm brown skin tone with mustard yellow/brown contrast.,Golden,"Deep Reds, Gold",Elegant
Deep Tan,Beige Jacket + White Pants,Matches deep tan skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Casual
Porcelain,Charcoal Sweater + Black Jeans,Matches porcelain skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Elegant
Deep Dark,Gold Dress + Dark Blue Heels,Matches deep dark skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Party
Medium,Olive Green Jacket + Cream Pants,Matches medium skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Streetwear
Olive,Silver Coat + Burgundy Boots,Matches olive skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Sporty
Caramel,Light Blue Top + Tan Trousers,Matches caramel skin tone with light blue/tan contrast.,Golden,"Deep Reds, Gold",Boho
Beige,Emerald Green Dress + Black Heels,Matches beige skin tone with emerald green/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Honey,Sky Blue Jacket + White Pants,Matches honey skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Formal
Porcelain,Emerald Green Blouse + Black Skirt,Matches porcelain skin tone with emerald green/black contrast.,Golden,"Deep Reds, Gold",Formal
Olive,Olive Green Dress + Khaki Heels,Matches olive skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Elegant
Deep Dark,Charcoal Coat + Black Boots,Matches deep dark skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Business
Deep Dark,Gold Sweater + Dark Blue Jeans,Matches deep dark skin tone with gold/dark blue contrast.,Warm,"Earth Tones, Mustard",Party
Olive,Gray Sweater + Black Jeans,Matches olive skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Formal
Tan,Deep Red Top + Gold Trousers,Matches tan skin tone with deep red/gold contrast.,Cool,"Blue, White, Pastels",Boho
Caramel,Soft Gray Dress + Charcoal Heels,Matches caramel skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Formal
Deep Tan,Tan Sweater + Brown Jeans,Matches deep tan skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Casual
Olive,Mint Green Coat + White Boots,Matches olive skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Casual
Caramel,Soft Gray Sweater + Charcoal Jeans,Matches caramel skin tone with soft gray/charcoal contrast.,Warm,"Earth Tones, Mustard",Sporty
Warm Brown,Silver Dress + Burgundy Heels,Matches warm brown skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Elegant
Deep Dark,Black Top + Dark Denim Trousers,Matches deep dark skin tone with black/dark denim contrast.,Cool,"Blue, White, Pastels",Formal
Ebony,Burgundy Dress + Black Heels,Matches ebony skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Business
Tan,Silver Top + Burgundy Trousers,Matches tan skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Streetwear
Tan,Light Blue Jacket + Tan Pants,Matches tan skin tone with light blue/tan contrast.,Warm,"Earth Tones, Mustard",Formal
Ebony,Olive Green Coat + Cream Boots,Matches ebony skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Elegant
Olive,White Blouse + Light Blue Skirt,Matches olive skin tone with white/light blue contrast.,Balanced,Neutral Palette,Party
Tan,Black Top + Dark Denim Trousers,Matches tan skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Sporty
Beige,Gold Blouse + Dark Blue Skirt,Matches beige skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Streetwear
Fair,Burgundy Dress + Black Heels,Matches fair skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Streetwear
Ebony,Mustard Yellow Top + Brown Trousers,Matches ebony skin tone with mustard yellow/brown contrast.,Golden,"Deep Reds, Gold",Casual
Light,Navy Blue Blouse + Beige Skirt,Matches light skin tone with navy blue/beige contrast.,Warm,"Earth Tones, Mustard",Casual
Medium,Gold Coat + Dark Blue Boots,Matches medium skin tone with gold/dark blue contrast.,Cool,"Blue, White, Pastels",Elegant
Deep Dark,Burgundy Dress + Black Heels,Matches deep dark skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Sporty
Warm Brown,Soft Gray Dress + Charcoal Heels,Matches warm brown skin tone with soft gray/charcoal contrast.,Golden,"Deep Reds, Gold",Casual
Fair,Olive Green Sweater + Khaki Jeans,Matches fair skin tone with olive green/khaki contrast.,Cool,"Blue, White, Pastels",Formal
Fair,Mustard Yellow Coat + Brown Boots,Matches fair skin tone with mustard yellow/brown contrast.,Cool,"Blue, White, Pastels",Party
Light,Burgundy Blouse + Black Skirt,Matches light skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Elegant
Dark,Dark Green Top + Brown Trousers,Matches dark skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Streetwear
Porcelain,Dark Green Coat + Brown Boots,Matches porcelain skin tone with dark green/brown contrast.,Deep,"Bold Colors, Navy",Sporty
Medium,Black Jacket + Dark Denim Pants,Matches medium skin tone with black/dark denim contrast.,Deep,"Bold Colors, Navy",Sporty
Deep Tan,Royal Blue Sweater + Silver Jeans,Matches deep tan skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Streetwear
Fair,Deep Red Coat + Gold Boots,Matches fair skin tone with deep red/gold contrast.,Warm,"Earth Tones, Mustard",Casual
Deep Tan,Sky Blue Dress + White Heels,Matches deep tan skin tone with sky blue/white contrast.,Deep,"Bold Colors, Navy",Formal
Honey,Light Blue Sweater + Tan Jeans,Matches honey skin tone with light blue/tan contrast.,Golden,"Deep Reds, Gold",Boho
Honey,Red Top + Black Trousers,Matches honey skin tone with red/black contrast.,Golden,"Deep Reds, Gold",Sporty
Dark,Mint Green Blouse + White Skirt,Matches dark skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Sporty
Fair,Red Coat + Black Boots,Matches fair skin tone with red/black contrast.,Golden,"Deep Reds, Gold",Sporty
Tan,Red Top + Black Trousers,Matches tan skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Party
Olive,Burnt Orange Top + Beige Trousers,Matches olive skin tone with burnt orange/beige contrast.,Warm,"Earth Tones, Mustard",Elegant
Medium,Gray Sweater + Black Jeans,Matches medium skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Business
Porcelain,Navy Blue Jacket + Beige Pants,Matches porcelain skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Party
Fair,Mint Green Top + White Trousers,Matches fair skin tone with mint green/white contrast.,Balanced,Neutral Palette,Streetwear
Medium,Navy Blue Blouse + Beige Skirt,Matches medium skin tone with navy blue/beige contrast.,Balanced,Neutral Palette,Casual
Fair,Tan Jacket + Brown Pants,Matches fair skin tone with tan/brown contrast.,Balanced,Neutral Palette,Sporty
Ebony,Deep Red Coat + Gold Boots,Matches ebony skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Elegant
Fair,Dark Green Sweater + Brown Jeans,Matches fair skin tone with dark green/brown contrast.,Deep,"Bold Colors, Navy",Business
Light,Light Blue Coat + Tan Boots,Matches light skin tone with light blue/tan contrast.,Balanced,Neutral Palette,Business
Honey,Emerald Green Top + Black Trousers,Matches honey skin tone with emerald green/black contrast.,Golden,"Deep Reds, Gold",Business
Fair,Beige Dress + White Heels,Matches fair skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Business
Medium,Red Dress + Black Heels,Matches medium skin tone with red/black contrast.,Balanced,Neutral Palette,Business
Medium,Black Coat + Charcoal Boots,Matches medium skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Casual
Honey,White Coat + Light Blue Boots,Matches honey skin tone with white/light blue contrast.,Golden,"Deep Reds, Gold",Business
Deep Tan,Gray Top + Black Trousers,Matches deep tan skin tone with gray/black contrast.,Balanced,Neutral Palette,Business
Tan,Gray Top + Black Trousers,Matches tan skin tone with gray/black contrast.,Balanced,Neutral Palette,Casual
Porcelain,Burnt Orange Dress + Beige Heels,Matches porcelain skin tone with burnt orange/beige contrast.,Warm,"Earth Tones, Mustard",Party
Tan,Royal Blue Blouse + Silver Skirt,Matches tan skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Boho
Dark,Black Sweater + Charcoal Jeans,Matches dark skin tone with black/charcoal contrast.,Balanced,Neutral Palette,Business
Dark,Gray Sweater + Black Jeans,Matches dark skin tone with gray/black contrast.,Warm,"Earth Tones, Mustard",Party
Honey,Red Jacket + Black Pants,Matches honey skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Formal
Olive,Black Dress + Dark Denim Heels,Matches olive skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Party
Warm Brown,Burgundy Blouse + Black Skirt,Matches warm brown skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Elegant
Fair,Royal Blue Coat + Silver Boots,Matches fair skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Sporty
Deep Tan,White Top + Light Blue Trousers,Matches deep tan skin tone with white/light blue contrast.,Golden,"Deep Reds, Gold",Sporty
Warm Brown,Red Top + Black Trousers,Matches warm brown skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Formal
Fair,Navy Blue Coat + Beige Boots,Matches fair skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Boho
Light,Burgundy Coat + Black Boots,Matches light skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Sporty
Honey,Silver Jacket + Burgundy Pants,Matches honey skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Elegant
Caramel,Dark Green Dress + Brown Heels,Matches caramel skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Boho
Beige,Gold Jacket + Dark Blue Pants,Matches beige skin tone with gold/dark blue contrast.,Deep,"Bold Colors, Navy",Party
Deep Tan,Light Brown Dress + Navy Heels,Matches deep tan skin tone with light brown/navy contrast.,Balanced,Neutral Palette,Streetwear
Ebony,Tan Dress + Brown Heels,Matches ebony skin tone with tan/brown contrast.,Deep,"Bold Colors, Navy",Party
Ebony,Deep Red Sweater + Gold Jeans,Matches ebony skin tone with deep red/gold contrast.,Warm,"Earth Tones, Mustard",Party
Deep Dark,Tan Dress + Brown Heels,Matches deep dark skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Party
Warm Brown,Dark Green Jacket + Brown Pants,Matches warm brown skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Boho
Caramel,Emerald Green Blouse + Black Skirt,Matches caramel skin tone with emerald green/black contrast.,Deep,"Bold Colors, Navy",Formal
Ebony,Gray Coat + Black Boots,Matches ebony skin tone with gray/black contrast.,Golden,"Deep Reds, Gold",Formal
Caramel,Gold Dress + Dark Blue Heels,Matches caramel skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Streetwear
Light,Deep Red Top + Gold Trousers,Matches light skin tone with deep red/gold contrast.,Cool,"Blue, White, Pastels",Formal
Honey,Beige Top + White Trousers,Matches honey skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Sporty
Dark,Olive Green Sweater + Khaki Jeans,Matches dark skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Boho
Deep Dark,Charcoal Dress + Black Heels,Matches deep dark skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Sporty
Deep Tan,Olive Green Jacket + Khaki Pants,Matches deep tan skin tone with olive green/khaki contrast.,Cool,"Blue, White, Pastels",Party
Ebony,Deep Red Top + Gold Trousers,Matches ebony skin tone with deep red/gold contrast.,Balanced,Neutral Palette,Casual
Deep Dark,Royal Blue Jacket + Silver Pants,Matches deep dark skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Casual
Medium,White Top + Light Blue Trousers,Matches medium skin tone with white/light blue contrast.,Deep,"Bold Colors, Navy",Sporty
Tan,Black Coat + Dark Denim Boots,Matches tan skin tone with black/dark denim contrast.,Cool,"Blue, White, Pastels",Streetwear
Fair,Tan Sweater + Brown Jeans,Matches fair skin tone with tan/brown contrast.,Balanced,Neutral Palette,Sporty
Fair,Tan Blouse + Brown Skirt,Matches fair skin tone with tan/brown contrast.,Balanced,Neutral Palette,Elegant
Beige,Olive Green Blouse + Cream Skirt,Matches beige skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Party
Porcelain,Peach Blouse + Olive Skirt,Matches porcelain skin tone with peach/olive contrast.,Warm,"Earth Tones, Mustard",Sporty
Caramel,Burgundy Jacket + Black Pants,Matches caramel skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Casual
Olive,Light Blue Jacket + Tan Pants,Matches olive skin tone with light blue/tan contrast.,Balanced,Neutral Palette,Elegant
Fair,Gray Jacket + Black Pants,Matches fair skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Casual
Medium,Tan Top + Brown Trousers,Matches medium skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Casual
Honey,Mint Green Coat + White Boots,Matches honey skin tone with mint green/white contrast.,Cool,"Blue, White, Pastels",Party
Deep Tan,Light Blue Sweater + Tan Jeans,Matches deep tan skin tone with light blue/tan contrast.,Deep,"Bold Colors, Navy",Casual
Beige,Light Blue Jacket + Tan Pants,Matches beige skin tone with light blue/tan contrast.,Golden,"Deep Reds, Gold",Business
Medium,Burnt Orange Sweater + Beige Jeans,Matches medium skin tone with burnt orange/beige contrast.,Cool,"Blue, White, Pastels",Sporty
Porcelain,Navy Blue Blouse + Beige Skirt,Matches porcelain skin tone with navy blue/beige contrast.,Warm,"Earth Tones, Mustard",Streetwear
Porcelain,Olive Green Top + Cream Trousers,Matches porcelain skin tone with olive green/cream contrast.,Cool,"Blue, White, Pastels",Business
Caramel,Sky Blue Coat + White Boots,Matches caramel skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Business
Ebony,Beige Sweater + White Jeans,Matches ebony skin tone with beige/white contrast.,Deep,"Bold Colors, Navy",Boho
Light,Gray Jacket + Black Pants,Matches light skin tone with gray/black contrast.,Warm,"Earth Tones, Mustard",Sporty
Beige,Sky Blue Top + White Trousers,Matches beige skin tone with sky blue/white contrast.,Golden,"Deep Reds, Gold",Elegant
Medium,Charcoal Dress + Black Heels,Matches medium skin tone with charcoal/black contrast.,Warm,"Earth Tones, Mustard",Formal
Porcelain,Dark Green Top + Brown Trousers,Matches porcelain skin tone with dark green/brown contrast.,Golden,"Deep Reds, Gold",Sporty
Tan,Peach Top + Olive Trousers,Matches tan skin tone with peach/olive contrast.,Deep,"Bold Colors, Navy",Sporty
Light,Tan Sweater + Brown Jeans,Matches light skin tone with tan/brown contrast.,Balanced,Neutral Palette,Boho
Ebony,Deep Red Jacket + Gold Pants,Matches ebony skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Business
Warm Brown,Red Dress + Black Heels,Matches warm brown skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Sporty
Porcelain,Royal Blue Blouse + Silver Skirt,Matches porcelain skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Casual
Caramel,Peach Coat + Olive Boots,Matches caramel skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Streetwear
Deep Dark,Sky Blue Coat + White Boots,Matches deep dark skin tone with sky blue/white contrast.,Golden,"Deep Reds, Gold",Boho
Warm Brown,Silver Dress + Burgundy Heels,Matches warm brown skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Casual
Beige,Olive Green Coat + Cream Boots,Matches beige skin tone with olive green/cream contrast.,Balanced,Neutral Palette,Elegant
Olive,Olive Green Sweater + Cream Jeans,Matches olive skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Streetwear
Light,Burgundy Jacket + Black Pants,Matches light skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Sporty
Medium,Red Blouse + Black Skirt,Matches medium skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Sporty
Ebony,Beige Dress + White Heels,Matches ebony skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Boho
Ebony,Tan Dress + Brown Heels,Matches ebony skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Business
Honey,Light Brown Dress + Navy Heels,Matches honey skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Elegant
Fair,Silver Top + Burgundy Trousers,Matches fair skin tone with silver/burgundy contrast.,Cool,"Blue, White, Pastels",Streetwear
Olive,Gray Sweater + Black Jeans,Matches olive skin tone with gray/black contrast.,Balanced,Neutral Palette,Streetwear
Olive,Beige Top + White Trousers,Matches olive skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Streetwear
Honey,Navy Blue Blouse + Beige Skirt,Matches honey skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Formal
Honey,Sky Blue Coat + White Boots,Matches honey skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Boho
Medium,Dark Green Jacket + Brown Pants,Matches medium skin tone with dark green/brown contrast.,Deep,"Bold Colors, Navy",Streetwear
Honey,Dark Green Coat + Brown Boots,Matches honey skin tone with dark green/brown contrast.,Deep,"Bold Colors, Navy",Sporty
Deep Dark,Light Brown Sweater + Navy Jeans,Matches deep dark skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Party
Dark,White Dress + Light Blue Heels,Matches dark skin tone with white/light blue contrast.,Cool,"Blue, White, Pastels",Sporty
Warm Brown,Royal Blue Coat + Silver Boots,Matches warm brown skin tone with royal blue/silver contrast.,Balanced,Neutral Palette,Party
Fair,Soft Gray Blouse + Charcoal Skirt,Matches fair skin tone with soft gray/charcoal contrast.,Cool,"Blue, White, Pastels",Sporty
Beige,Charcoal Dress + Black Heels,Matches beige skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Casual
Honey,Mustard Yellow Coat + Brown Boots,Matches honey skin tone with mustard yellow/brown contrast.,Deep,"Bold Colors, Navy",Streetwear
Caramel,Burnt Orange Blouse + Beige Skirt,Matches caramel skin tone with burnt orange/beige contrast.,Golden,"Deep Reds, Gold",Casual
Warm Brown,Royal Blue Top + Silver Trousers,Matches warm brown skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Casual
Tan,Peach Coat + Olive Boots,Matches tan skin tone with peach/olive contrast.,Deep,"Bold Colors, Navy",Formal
Dark,Sky Blue Top + White Trousers,Matches dark skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Business
Fair,Royal Blue Jacket + Silver Pants,Matches fair skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Sporty
Caramel,Burgundy Sweater + Black Jeans,Matches caramel skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Beige,White Coat + Light Blue Boots,Matches beige skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Formal
Deep Tan,Sky Blue Sweater + White Jeans,Matches deep tan skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Sporty
Ebony,Burgundy Dress + Black Heels,Matches ebony skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Elegant
Olive,Gray Top + Black Trousers,Matches olive skin tone with gray/black contrast.,Cool,"Blue, White, Pastels",Streetwear
Light,Sky Blue Blouse + White Skirt,Matches light skin tone with sky blue/white contrast.,Warm,"Earth Tones, Mustard",Party
Ebony,Peach Coat + Olive Boots,Matches ebony skin tone with peach/olive contrast.,Cool,"Blue, White, Pastels",Party
Ebony,Charcoal Dress + Black Heels,Matches ebony skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Formal
Porcelain,Gray Jacket + Black Pants,Matches porcelain skin tone with gray/black contrast.,Warm,"Earth Tones, Mustard",Casual
Olive,Gray Sweater + Black Jeans,Matches olive skin tone with gray/black contrast.,Cool,"Blue, White, Pastels",Business
Dark,Mint Green Coat + White Boots,Matches dark skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Casual
Dark,Dark Green Dress + Brown Heels,Matches dark skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Elegant
Medium,Light Blue Jacket + Tan Pants,Matches medium skin tone with light blue/tan contrast.,Cool,"Blue, White, Pastels",Casual
Dark,Beige Blouse + White Skirt,Matches dark skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Party
Tan,Soft Gray Top + Charcoal Trousers,Matches tan skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Formal
Deep Dark,Mint Green Blouse + White Skirt,Matches deep dark skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Business
Porcelain,Black Blouse + Dark Denim Skirt,Matches porcelain skin tone with black/dark denim contrast.,Deep,"Bold Colors, Navy",Casual
Caramel,Tan Coat + Brown Boots,Matches caramel skin tone with tan/brown contrast.,Deep,"Bold Colors, Navy",Sporty
Tan,Black Jacket + Charcoal Pants,Matches tan skin tone with black/charcoal contrast.,Golden,"Deep Reds, Gold",Party
Deep Dark,Burgundy Dress + Black Heels,Matches deep dark skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Streetwear
Warm Brown,Peach Dress + Olive Heels,Matches warm brown skin tone with peach/olive contrast.,Cool,"Blue, White, Pastels",Elegant
Light,Gold Dress + Dark Blue Heels,Matches light skin tone with gold/dark blue contrast.,Golden,"Deep Reds, Gold",Formal
Fair,Beige Dress + White Heels,Matches fair skin tone with beige/white contrast.,Warm,"Earth Tones, Mustard",Party
Dark,Deep Red Coat + Gold Boots,Matches dark skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Sporty
Honey,White Coat + Light Blue Boots,Matches honey skin tone with white/light blue contrast.,Deep,"Bold Colors, Navy",Streetwear
Tan,Black Jacket + Dark Denim Pants,Matches tan skin tone with black/dark denim contrast.,Balanced,Neutral Palette,Sporty
Fair,Olive Green Sweater + Khaki Jeans,Matches fair skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Boho
Ebony,Peach Blouse + Olive Skirt,Matches ebony skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Business
Medium,Burgundy Coat + Black Boots,Matches medium skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Casual
Honey,Gold Jacket + Dark Blue Pants,Matches honey skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Business
Caramel,Soft Gray Sweater + Charcoal Jeans,Matches caramel skin tone with soft gray/charcoal contrast.,Cool,"Blue, White, Pastels",Business
Fair,Silver Sweater + Burgundy Jeans,Matches fair skin tone with silver/burgundy contrast.,Golden,"Deep Reds, Gold",Business
Porcelain,Peach Top + Olive Trousers,Matches porcelain skin tone with peach/olive contrast.,Balanced,Neutral Palette,Party
Light,Charcoal Jacket + Black Pants,Matches light skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Streetwear
Ebony,Light Brown Top + Navy Trousers,Matches ebony skin tone with light brown/navy contrast.,Balanced,Neutral Palette,Sporty
Medium,Light Blue Sweater + Tan Jeans,Matches medium skin tone with light blue/tan contrast.,Cool,"Blue, White, Pastels",Business
Caramel,Mint Green Blouse + White Skirt,Matches caramel skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Boho
